Display Order Code,Item SKU Code,Channel Name,Sale Order Status,Sale Order Item Status,Shipping Package Creation Date,Shipping Package Status Code,Created,Channel Shipping
91012657805,19,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657805,114,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657805,197,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657805,197,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657812,32,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657812,35,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657822,35,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657822,279,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657822,243,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657822,221,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657841,1,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657841,295,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657846,55,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657846,82,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657846,141,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657846,159,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657851,13,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657851,14,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657853,19,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657853,4,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657853,98,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657853,15,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657863,157,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657863,111,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657863,111,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657863,141,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657866,193,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657866,289,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657866,4,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657866,4,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657866,40,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657866,114,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657866,24,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657866,123,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657880,99,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657880,53,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657880,53,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657880,6,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657880,6,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657880,172,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657880,172,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657888,3,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657888,3,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657888,3,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657888,9,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657888,9,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657898,19,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657898,98,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657898,236,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657898,15,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657909,176,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657909,176,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657909,176,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657909,176,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657909,176,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657909,176,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657909,176,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657909,176,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657910,111,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657910,87,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657918,51,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657918,39,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
91012657918,19,MamaEarth-Production,PROCESSING,FULFILLABLE,12-01-2023 10:33,CREATED,12-01-2023 00:26,FALSE
